title_processed,abstract_processed,group
hypoxia renal disease proteinuria glomerular hypertension,despite increase need identify quantify tissue oxygenation cellular relatively method available develop new hypoxia [MeSH:C0242184]-responsive reporter vector hypoxia [MeSH:C0242184]-responsive element vascular endothelial growth factor [MeSH:C0078058] untranslated region [MeSH:C0078058] generate novel hypoxia [MeSH:C0242184]-sensing transgenic rat apply animal model [MeSH:C0011381] [MeSH:C0599779] detection [MeSH:C5392129] tubulointerstitial hypoxia [MeSH:C0242184] [MeSH:C0041349] diseased kidney model [MeSH:C0011381] able identify diffuse cortical hypoxia [MeSH:C0242184] puromycin [MeSH:C0034145] aminonucleoside [MeSH:C0085791]-induced nephrotic syndrome focal segmental hypoxia [MeSH:C0242184] remnant kidney model [MeSH:C0011381] expression [MeSH:C0017262] hypoxia [MeSH:C0242184]-responsive transgene increase observation period [MeSH:C0302523] reach -fold week puromycin [MeSH:C0034145] aminonucleoside [MeSH:C0085791] model [MeSH:C0011381] -fold week remnant kidney model [MeSH:C0011381] vascular endothelial growth factor [MeSH:C0078058] show mild decrease reflect distinct behavior gene [MeSH:C0004927] degree hypoxia [MeSH:C0242184] show positive correlation [MeSH:C0010100] microscopic tubulointerstitial injury model [MeSH:C0011381] finally identify localization [MeSH:C0037710] proliferate cell nuclear antigen-positive ed positive terminal dutp nick-end labeled-positive cell hypoxic cortical area remnant kidney model [MeSH:C0011381] propose possible pathological [MeSH:C0030660] tie chronic tubulointerstitial hypoxia [MeSH:C0242184] [MeSH:C0041349] progressive glomerular disease,cardiovascular|hepatorenal
cardiomyopathy [MeSH:C0878544] pulmonary embolism [MeSH:C0034065] cardiac connection,diabete affect cardiac [MeSH:C0018810] patient [MeSH:C0030705] worldwide particularly involve heart rate [MeSH:C0018810] cardiac [MeSH:C0018810] method conduct longitudinal [MeSH:C0023981] evaluate ace inhibitor [MeSH:C0003015] patient [MeSH:C0030705] examine heart failure [MeSH:C0018801] parameter result improvement primary endpoint therapeutic innovation [MeSH:C0087111],cardiovascular|oncological
molecular basis essential fructosuria [MeSH:C0268160] molecular cloning [MeSH:C0009017] mutational human ketohexokinase fructokinase,essential [MeSH:C0600449] fructosuria [MeSH:C0268160] [MeSH:C0268160] [MeSH:C0268160] old known inborn error metabolism benign condition believe deficiency hepatic fructokinase ketohexokinase [MeSH:C0064317] khk e c enzyme [MeSH:C0268160] catalyse step metabolism [MeSH:C0025519] dietary [MeSH:C0012177] fructose [MeSH:C0016745] [MeSH:C0016745] conversion [MeSH:C0017259] fructose [MeSH:C0016745] [MeSH:C0016745] fructose [MeSH:C0016745] [MeSH:C0016745] phosphate despite early recognition disorder [MeSH:C0009241] primary structure [MeSH:C0002518] human [MeSH:C0086418] khk molecular basis essential [MeSH:C0600449] fructosuria [MeSH:C0268160] [MeSH:C0268160] [MeSH:C0268160] previously define report isolation sequencing full-length cdna clone [MeSH:C0006556] encode human [MeSH:C0086418] ketohexokinase [MeSH:C0064317] describe alternative [MeSH:C4255061] mrna specie alternative [MeSH:C4255061] khk isozyme produce alternative [MeSH:C4255061] polyadenylation splicing khk gene khk protein high sequence conservation [MeSH:C4505188] relative rat [MeSH:C0034721] khk direct evidence mutation khk [MeSH:C0026882] structural gene [MeSH:C1171366] cause essential [MeSH:C0600449] fructosuria [MeSH:C0268160] [MeSH:C0268160] [MeSH:C0268160] obtain well-characterized family sibling [MeSH:C0037047] fructosuria [MeSH:C0268160] [MeSH:C0268160] [MeSH:C0268160] affect individual [MeSH:C0021228] [MeSH:C0021228] compound heterozygote mutation gly40arg ala43thr mutation g-- transition [MeSH:C1257888] alter conserve region khk protein mutation see sample unrelated individual [MeSH:C0021228] [MeSH:C0021228] additional conservative amino acid val49iie present khk allele [MeSH:C0002085] bear ala43thr,hepatorenal
chemotherapy [MeSH:C0013216] lung cancer [MeSH:C0242379] brain [MeSH:C0006104] insight,heart disease [MeSH:C0018799] affect elderly patient [MeSH:C0030705] worldwide particularly involve gray matter [MeSH:C0018220] chorea method [MeSH:C0008489] conduct longitudinal [MeSH:C0023981] evaluate aspirin [MeSH:C0004057] patient [MeSH:C0030705] examine amygdala [MeSH:C0002708] parameter result favorable safety profile practice guideline,neurological
enhancement [MeSH:C0376317] aminonucleoside nephrosis co-administration [MeSH:C0001554] protamine [MeSH:C0033603],experimental model [MeSH:C0086272] focal segmental glomerular sclerosis fsgs [MeSH:C0017668] develop rat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721] combined administrat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721]ion puromycin-aminonucleoside amn protamine sulfate ps [MeSH:C0034146] male [MeSH:C0086582] sprague-dawley rat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721] uninephrectomized week receive daily injection [MeSH:C1828121] subcutaneous amn mg g body [MeSH:C0021499] wt intravenous ps separat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721]e dose mg g body wt day [MeSH:C0011017] series injection [MeSH:C1828121] repeat time interval animal [MeSH:C0003062] sacrifice day [MeSH:C0011017] develop nephrotic syndrome [MeSH:C0027726] finally renal failure time-course curve creatinine clearance drop show difference p amn ps saline inject glomerulus show change progressive [MeSH:C1449744] [MeSH:C1449744] fsgs ultrastructural study initial stage reveal lack particle [MeSH:C0005166] perfused ruthenium red lamina rara externa marked change epithelial cell [MeSH:C0014597] cytoplasm suggest administrat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721]ion ps enhance toxicity [MeSH:C0040539] amn glomerulus readily produce progressive [MeSH:C1449744] [MeSH:C1449744] fsgs rat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721] result end-stage renal disease,hepatorenal
brainstem dysgenesis [MeSH:C1832215] infant [MeSH:C0021270] prenatally expose cocaine [MeSH:C0009170],author describe effect [MeSH:C4277511] fetus [MeSH:C0015965] maternal [MeSH:C0024915] cocaine abuse [MeSH:C0009171] pregnancy vasoconstriction [MeSH:C0042396] appear common mechanism action [MeSH:C1524059] lead wide range fetal anomaly [MeSH:C0266647] report infant multiple cranial-nerve involvement [MeSH:C0030699] attributable brainstem dysgenesis [MeSH:C1832215] bear cocaine-addicted [MeSH:C0600427] mother [MeSH:C0026591],neurological
filtration frontier [MeSH:C0016107] atrial fibrillation [MeSH:C0004238],hypothesis [MeSH:C3179072] aspirin [MeSH:C0004057] improve heart disease [MeSH:C0018799] outcome [MeSH:C0206277] nephrotic syndrome pathway method retrospective trial diabetic [MeSH:C1263960] patient [MeSH:C0030705] measuring cholecystitis azotemia [MeSH:C0008325] result improve disease management [MeSH:C0039798] healthcare advancement,hepatorenal
quinidine hepatitis [MeSH:C0019158],long-term [MeSH:C0023977] [MeSH:C0023977] administration [MeSH:C0001554] [MeSH:C0001554] quinidine [MeSH:C0034414] [MeSH:C0034414] [MeSH:C0034414] associate [MeSH:C0004083] persistent [MeSH:C0026205] elevation serum concentration sgot lactic acid dehydrogenase [MeSH:C0022921] [MeSH:C0022921] alkaline phosphatase [MeSH:C0002059] [MeSH:C0002059] liver biopsy [MeSH:C0005558] [MeSH:C0005558] show active hepatitis [MeSH:C0520463] discontinuance quinidine [MeSH:C0034414] [MeSH:C0034414] [MeSH:C0034414] therapy lead normalization liver function test [MeSH:C0023901] challenge dose quinidine [MeSH:C0034414] [MeSH:C0034414] [MeSH:C0034414] cause symptom [MeSH:C3839861] abrupt elevation sgot alkaline phosphatase [MeSH:C0002059] [MeSH:C0002059] lactic acid dehydrogenase [MeSH:C0022921] [MeSH:C0022921] value conclude quinidine [MeSH:C0034414] [MeSH:C0034414] [MeSH:C0034414] hepatotoxicity [MeSH:C0040539] [MeSH:C0235280] believe case report [MeSH:C0684224] liver biopsy [MeSH:C0005558] [MeSH:C0005558] documentation report [MeSH:C0920316] suggest long-term [MeSH:C0023977] [MeSH:C0023977] administration [MeSH:C0001554] [MeSH:C0001554] hepatic [MeSH:C0227525] toxicity [MeSH:C0040539] reversible,neurological|hepatorenal
ckd valvular heart disease [MeSH:C0018824] vascular [MeSH:C0221214] insight,design [MeSH:C0013171] retrospective [MeSH:C0035363] investigation [MeSH:C0035173] metformin [MeSH:C0025598] dementia [MeSH:C0497327] participant [MeSH:C1708335] cancer patient [MeSH:C0030705] endothelium atrial fibrillation [MeSH:C0004238] result superior efficacy cholestasis [MeSH:C0008370] correlation healthcare advancement,cardiovascular|hepatorenal
long-term [MeSH:C0023977] efficacy [MeSH:C5690761] adverse event [MeSH:C0041755] nifedipine [MeSH:C0028066] sustained-release tablet cyclosporin [MeSH:C0010592] a-induced hypertension patient psoriasis [MeSH:C0033860],thirteen psoriatic patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] hypertension [MeSH:C0020538] course cyclosporin [MeSH:C0010592] [MeSH:C0010592] therapy treat month calcium channel blocker [MeSH:C0006684] sustained-release nifedipine [MeSH:C0028066] [MeSH:C0028066] [MeSH:C0028066] antihypertensive effect adverse event [MeSH:C0041755] [MeSH:C0041755] drug seven patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] exhibit subclinical hypertensive state cyclosporin [MeSH:C0010592] [MeSH:C0010592] therapy systolic diastolic blood pressure [MeSH:C0005823] [MeSH:C0428883] patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] decrease significantly week nifedipine [MeSH:C0028066] [MeSH:C0028066] [MeSH:C0028066] therapy blood pressure [MeSH:C0005823] maintain normal range month adverse event [MeSH:C0041755] [MeSH:C0041755] combined therapy cyclosporin [MeSH:C0010592] [MeSH:C0010592] nifedipine [MeSH:C0028066] [MeSH:C0028066] [MeSH:C0028066] include increase blood urea [MeSH:C0005845] nitrogen level patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] development gingival hyperplasia [MeSH:C0017566] [MeSH:C0017566] patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] finding indicate sustained-release nifedipine [MeSH:C0028066] [MeSH:C0028066] [MeSH:C0028066] useful hypertensive psoriatic patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] long-term [MeSH:C0023977] cyclosporin [MeSH:C0010592] [MeSH:C0010592] patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] monitor gingival hyperplasia [MeSH:C0017566] [MeSH:C0017566],cardiovascular
alveolar rhabdomyosarcoma [MeSH:C0206655] pax3 fkhr [MeSH:C0250455] fusion protein [MeSH:C0178648] transcriptional activator,chimeric [MeSH:C0067895] transcription factor create gene fusion chromosomal translocation [MeSH:C0599893] [MeSH:C0040715] implicate pathogenesis [MeSH:C0699748] pathologically disparate solid tumor pax [MeSH:C4255011]3 fkhr [MeSH:C0250455] [MeSH:C0250455] fusion gene form q3 q1 alveolar rhabdomyosarcoma [MeSH:C0206655] encode hybrid protein [MeSH:C0020205] [MeSH:C0033684] [MeSH:C0020205] contain pax [MeSH:C4255011]3 dna binding domain [MeSH:C4277619] paired box homeodomain link bisect dna binding domain [MeSH:C4277619] fkhr [MeSH:C0250455] [MeSH:C0250455] member forkhead family transcription factor report [MeSH:C0118111] pax [MeSH:C4255011]3 pax [MeSH:C4255011]3 fkhr [MeSH:C0250455] [MeSH:C0250455] display similar [MeSH:C4045974] identical transactivation activity test [MeSH:C0040624] model pax [MeSH:C4255011] recognition sequence functional role ascribe solely residual fkhr [MeSH:C0250455] [MeSH:C0250455] binding domain [MeSH:C4277619] present fusion protein [MeSH:C0033684] [MeSH:C0178648] fkhr [MeSH:C0250455] [MeSH:C0250455] find contribute strong carboxyl terminal activation domain replace located unrearranged pax [MeSH:C4255011]3 gene native [MeSH:C3494467] pax [MeSH:C4255011]3 fkhr [MeSH:C0250455] [MeSH:C0250455] protein [MeSH:C0033684] present tumor cell [MeSH:C0085983] translocation [MeSH:C0599893] transcriptional characteristic similar [MeSH:C4045974] vitro express [MeSH:C0017262] protein [MeSH:C0033684] ability pax [MeSH:C4255011]3 fkhr [MeSH:C0250455] [MeSH:C0250455] hybrid protein [MeSH:C0020205] [MeSH:C0033684] [MeSH:C0020205] bind dna sequence [MeSH:C0162326] specific manner transactivate [MeSH:C0040627] express [MeSH:C0017262]ion artificial reporter gene [MeSH:C0017374] suggest aberrant [MeSH:C0008519] express [MeSH:C0017262]ion subvert transcriptional program normally growth differentiation [MeSH:C2003671] survival [MeSH:C0038952] primitive myogenic precursor vivo,neurological|oncological
prenatal [MeSH:C0033052] cocaine exposure [MeSH:C1390376] cranial sonographic finding preterm infant [MeSH:C4048294],prenatal [MeSH:C0033052] [MeSH:C0033052] cocaine [MeSH:C0009170] [MeSH:C0009170] [MeSH:C0009170] exposure [MeSH:C1390376] [MeSH:C1390376] link subependymal hemorrhage formation cyst detectable cranial sonography [MeSH:C0206077] neonate bear term seek determine prenatal [MeSH:C0033052] [MeSH:C0033052] cocaine [MeSH:C0009170] [MeSH:C0009170] [MeSH:C0009170] exposure [MeSH:C1390376] [MeSH:C1390376] increase incidence [MeSH:C0021149] [MeSH:C0021149] [MeSH:C0021149] [MeSH:C0021149] subependymal cyst [MeSH:C0206725] [MeSH:C0206725] [MeSH:C0206725] preterm infant [MeSH:C0021270] [MeSH:C4048294] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] method [MeSH:C4048294] retrospectively review medical record [MeSH:C0025102] cranial sonogram obtain -year period [MeSH:C0080129] premature week gestation infant [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0032961] infant [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] categorize group [MeSH:C0018257] expose cocaine [MeSH:C0009170] [MeSH:C0009170] [MeSH:C0009170] expose cocaine [MeSH:C0009170] [MeSH:C0009170] [MeSH:C0009170] infant [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] assign cocaine [MeSH:C0009170] [MeSH:C0009170] [MeSH:C0009170]-exposed maternal [MeSH:C0024915] history [MeSH:C0019664] cocaine [MeSH:C0009170] [MeSH:C0009170] [MeSH:C0009170] abuse pregnancy [MeSH:C0032961] maternal [MeSH:C0024915] neonatal [MeSH:C0021709] urine toxicology [MeSH:C0040541] result positive delivery result infant [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] exclude insufficient [MeSH:C5575834] medical drug history [MeSH:C0241889] incidence [MeSH:C0021149] [MeSH:C0021149] [MeSH:C0021149] [MeSH:C0021149] subependymal cyst [MeSH:C0206725] [MeSH:C0206725] [MeSH:C0206725] remain infant [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] incidence [MeSH:C0021149] [MeSH:C0021149] [MeSH:C0021149] [MeSH:C0021149] subependymal cyst [MeSH:C0206725] [MeSH:C0206725] [MeSH:C0206725] infant [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] expose cocaine [MeSH:C0009170] [MeSH:C0009170] [MeSH:C0009170] prenatal [MeSH:C0033052] [MeSH:C0033052]ly compare unexpose p conclusion find increase incidence [MeSH:C0021149] [MeSH:C0021149] [MeSH:C0021149] [MeSH:C0021149] subependymal cyst [MeSH:C0206725] [MeSH:C0206725] [MeSH:C0206725] formation preterm infant [MeSH:C0021270] [MeSH:C4048294] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] expose cocaine [MeSH:C0009170] [MeSH:C0009170] [MeSH:C0009170] prenatal [MeSH:C0033052] [MeSH:C0033052]ly consistent result similar study [MeSH:C0085973] term infant [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270] [MeSH:C0021270],neurological|hepatorenal
pethidine [MeSH:C0025376]-associated seizure healthy [MeSH:C0452415] adolescent [MeSH:C0205653] receive pethidine [MeSH:C0025376] postoperative pain [MeSH:C0030201],healthy [MeSH:C0452415] -year-old male [MeSH:C0086582] receive standard intermittent dose [MeSH:C4704881] pethidine [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] patient-controlle analgesia pca pump management [MeSH:C0085971] postoperative pain [MeSH:C0030201] twenty-three h postoperatively develop brief self-limited seizure [MeSH:C0036572] plasma [MeSH:C0032105] pethidine [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] norpethidine [MeSH:C0025376] [MeSH:C0069006] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0069006] [MeSH:C0025376] [MeSH:C0025376] elevated [MeSH:C0020443] range associate manifestation [MeSH:C0029166] central nervous system excitation [MeSH:C3714787] risk factor cns toxicity [MeSH:C0040539] identify allow frequent self-dosing pethidine [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] short interval rapid accumulation [MeSH:C0311432] pethidine [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] norpethidine [MeSH:C0025376] [MeSH:C0069006] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0069006] [MeSH:C0025376] [MeSH:C0025376] routine use pethidine [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] [MeSH:C0025376] pca brief postoperative analgesia reconsider,neurological
predominance adrenomyeloneuropathy [MeSH:C1527231] phenotype [MeSH:C0031437] x-linked adrenoleukodystrophy netherland survey [MeSH:C0162309] kindred,x-linked adrenoleukodystrophy x-ald [MeSH:C0162309] inherit disorder [MeSH:C0040188] peroxisomal beta-oxidation [MeSH:C3658274] associate accumulation [MeSH:C0311432] saturated long-chain fatty acid result central peripheral demyelination impaired [MeSH:C0020580] function adrenal cortex [MeSH:C0001613] testis [MeSH:C0039597] phenotypic [MeSH:C1837514] expression [MeSH:C0017262] highly variable childhood [MeSH:C0023452] cerebral ald ccald adrenomyeloneuropathy amn main variant explore dutch kindred know dutch x-ald amn phenotype [MeSH:C0031437] [MeSH:C0031437] male [MeSH:C0086582] patient [MeSH:C0030705] [MeSH:C0030705] amn ccald adolescent cerebral ald adolcald percentage differ significantly previous report patient [MeSH:C0030705] [MeSH:C0030705] develop amn ccald adolcald finding indicate netherland [MeSH:C0027778] amn frequent phenotype [MeSH:C0031437] [MeSH:C0031437] x-ald,neurological|hepatorenal
tacrolimus-related seizure pediatric [MeSH:C0237433] liver transplantation [MeSH:C0023911] single-center experience,identify risk factor [MeSH:C0035648] [MeSH:C0035648] [MeSH:C0035648] new-onset seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] pediatric [MeSH:C0237433] [MeSH:C0237433] [MeSH:C0237433] [MeSH:C0237433] lt assess implication long-term [MeSH:C0023977] prognosis [MeSH:C0033325] laboratory [MeSH:C0022877] consecutive child [MeSH:C0008059] [MeSH:C0008059] [MeSH:C0008059] undergo lt january december center analyze retrospectively patient divide seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] non-seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572]s pre-operative [MeSH:C5392083] intra-operative post-operative [MeSH:C0030201] [MeSH:C0030201] collect [MeSH:C0030201] seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] occur child [MeSH:C0008059] [MeSH:C0008059] [MeSH:C0008059] incidence [MeSH:C0021149] exhibit generalize tonic-clonic seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0494475] [MeSH:C0036572] wk lt univariate show risk factor [MeSH:C0035648] [MeSH:C0035648] [MeSH:C0035648] associate [MeSH:C0004083] seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] pediatric [MeSH:C0237433] [MeSH:C0237433] [MeSH:C0237433] [MeSH:C0237433] lt include gender [MeSH:C0079399] pediatric [MeSH:C0237433] [MeSH:C0237433] [MeSH:C0237433] [MeSH:C0237433] end-stage liver disease score [MeSH:C0745744] surgery child [MeSH:C0008059] [MeSH:C0008059] [MeSH:C0008059]-pugh score surgery serum [MeSH:C0229671] total bilirubin surgery trough tac multivariate show trough tac independent risk factor [MeSH:C0035648] [MeSH:C0035648] [MeSH:C0035648] associate [MeSH:C0004083] seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] child [MeSH:C0008059] [MeSH:C0008059] [MeSH:C0008059] experience seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] survive [MeSH:C0038952] good graft function [MeSH:C1566590] remain seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572]-free anti-epileptic drug mean follow-up [MeSH:C3899107] period [MeSH:C0080129] [MeSH:C0080129] month high trough tac predominant factor contribute seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] early post-operative [MeSH:C0030201] [MeSH:C0030201] period [MeSH:C0080129] [MeSH:C0080129] pediatric [MeSH:C0237433] [MeSH:C0237433] [MeSH:C0237433] [MeSH:C0237433] lt high peld child [MeSH:C0008059] [MeSH:C0008059] [MeSH:C0008059]-pugh score lt high post-operative [MeSH:C0030201] [MeSH:C0030201] serum [MeSH:C0229671] tbil contributory risk factor [MeSH:C0035648] [MeSH:C0035648] [MeSH:C0035648] tac-related seizure [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572] [MeSH:C0036572],neurological|hepatorenal
nonalcoholic steatohepatitis [MeSH:C3241937] marker peripheral artery disease [MeSH:C1704436],question [MeSH:C0600648] ace inhibitor affect dementia [MeSH:C0497327] blood pressure mechanism method [MeSH:C0005823] prospective diabetic [MeSH:C1263960] patient [MeSH:C0030705] assess heart angina [MeSH:C0018787] result improve disease management [MeSH:C0039798] implication practice guideline,cardiovascular|hepatorenal
spectrum [MeSH:C4042936] hsnf5 [MeSH:C0292369] ini1 [MeSH:C0292369] somatic mutation human cancer [MeSH:C0006826] genotype-phenotype correlation [MeSH:C2717879],hsnf5 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] ini1 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] gene encode member swi snf chromatin atp-dependent remodeling complex [MeSH:C1309395] new tumor suppressor gene localized chromosome 2q1 recently show mutate [MeSH:C3178846] malignant [MeSH:C0001418] rhabdoid [MeSH:C0206743] tumor [MeSH:C0206743] search hsnf5 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] ini1 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] mutation [MeSH:C0026882] [MeSH:C0026882] tumor origin screening base denature high-performance liquid chromatography [MeSH:C0008562] total homozygous deletion point alteration identify point mutation [MeSH:C0026882] [MeSH:C0162735] [MeSH:C0026882] scatter code sequence include nonsense frameshift splice site missense editing mutation [MeSH:C0026882] [MeSH:C0026882] mutation [MeSH:C0026882] [MeSH:C0026882] retrieve rhabdoid [MeSH:C0206743] tumor [MeSH:C0206743] site occurrence indicate common pathogenetic origin tumor recurrent hsnf5 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] ini1 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] alteration observe choroid plexu carcinoma [MeSH:C0431109] subset central primitive neuroectodermal tumor cpnet medulloblastoma [MeSH:C0206663] contrast hsnf5 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] ini1 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] point mutation [MeSH:C0026882] [MeSH:C0162735] [MeSH:C0026882] detect breast cancer [MeSH:C0006142] wilm tumor glioma ependymoma sarcoma tumor type [MeSH:C0027651] analyze case harbor loss heterozygosity 2q1 locus [MeSH:C0524869] result suggest rhabdoid [MeSH:C0206743] tumor [MeSH:C0206743] choroid plexu carcinoma [MeSH:C0431109] subset medulloblastoma cpnet [MeSH:C0025149] share common pathway [MeSH:C0282655] oncogenesis [MeSH:C0596263] related hsnf5 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] ini1 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] alteration hsnf5 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] ini1 [MeSH:C0292369] [MeSH:C0292369] [MeSH:C0292369] mutation [MeSH:C0026882] [MeSH:C0026882] define genetically homogeneous family highly aggressive cancer mainly occur young child frequently exhibit rhabdoid [MeSH:C0206743] phenotype [MeSH:C0031437],neurological|oncological
pioneer bladder cancer [MeSH:C0005684] study angina pectoris [MeSH:C0002962],question [MeSH:C0600648] metformin [MeSH:C0025598] affect diabete [MeSH:C0007080] pancreatic cancer [MeSH:C0346647] mechanism method randomized control [MeSH:C1096777] cardiac patient assess liver fibrosis [MeSH:C0239946] hodgkin lymphoma [MeSH:C0019829] result improve disease management [MeSH:C0039798] implication optimization [MeSH:C0376695],hepatorenal|oncological
natural history [MeSH:C0175860] vigabatrin [MeSH:C0048044] associated [MeSH:C0036238] visual field defect [MeSH:C0042826] patient [MeSH:C0030705] elect continue medication [MeSH:C0033045],determine natural history [MeSH:C0175860] visual field [MeSH:C0042826] defect [MeSH:C0042826] [MeSH:C0042826] patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] know vigabatrin [MeSH:C0048044]-associated change elect continue medication [MeSH:C0033045] [MeSH:C0033045] [MeSH:C0033045] good seizure method patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] take vigabatrin [MeSH:C0048044] combination [MeSH:C0034865] antiepileptic drug [MeSH:C0003299] year range year enter visual surveillance programme patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] follow -monthly interval month range month patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] unequivocal defect continue medication [MeSH:C0033045] [MeSH:C0033045] [MeSH:C0033045] follow publish methodology eye monocular mean radial degree mrd 4e isopter goldmann perimetry calculate right eye discovery visual field [MeSH:C0042826] defect [MeSH:C0042826] [MeSH:C0042826] month follow-up [MeSH:C3899107] [MeSH:C3899107] result mean right eye mrd presentation [MeSH:C0022869] degree range compare degree range follow-up [MeSH:C3899107] [MeSH:C3899107] p unpaired t-test demonstrate deterioration [MeSH:C0234985] visual field [MeSH:C0042826] period discontinue established visual field [MeSH:C0042826] defect [MeSH:C0042826] [MeSH:C0042826] presume vigabatrin [MeSH:C0048044] therapy usually progress spite continue use medication [MeSH:C0033045] [MeSH:C0033045] [MeSH:C0033045] support hypothesis [MeSH:C3179072] pathogenesis [MeSH:C0699748] vigabatrin [MeSH:C0048044]-associated visual field [MeSH:C0042826] defect [MeSH:C0042826] [MeSH:C0042826] idiosyncratic adverse drug reaction [MeSH:C0041755] dose-dependent toxicity [MeSH:C0040539],neurological
